Dict_Key,Acc_Diff_Mean,Acc_Diff_Median,Acc_Diff_Std,Box_Diff_Mean,Box_Diff_Median,Box_Diff_Std
"(1, 1)",-0.05923073159205701,-0.054792242244691515,0.08189379974631074,-0.004399647746918994,0.0042669333051890135,0.07676774151833789
"(1, 2)",-0.05015987325618231,-0.06345107433035223,0.09092373621967893,0.026977564810841227,-0.0020478498190641403,0.08504805894198886
"(1, 3)",0.006738921473426641,0.0015899363190415405,0.07733316654447078,0.07808873297623752,0.06358236666225518,0.07832067043674901
"(1, 4)",-0.035820656495428344,-0.03585970812525214,0.10436497815217013,0.04079278716347632,0.046694543765624985,0.07580992009463093
"(2, 1)",-0.11715629186316272,-0.10142186768560782,0.13778577225528776,-0.05807634294927251,-0.03424599498976022,0.10910600290572493
"(2, 2)",-0.05277598400880395,-0.03818210424606917,0.072081480894724,0.0026174857215203926,0.007643987570190802,0.04199783468598199
"(2, 3)",-0.019983404469794505,-0.009567130102524843,0.060280253355894715,0.051738733121964635,0.04945148333111623,0.05571019723133855
"(2, 4)",-0.04400793149316106,-0.030295958138498003,0.11076362627926437,0.03495420496686159,0.05010255007073283,0.09239135364169687
"(3, 1)",-0.16576287743566367,-0.1485662519141199,0.14705833998403858,-0.06585539793212038,-0.05923004001379013,0.06619181184360101
"(3, 2)",-0.1381145356330463,-0.13195995627482238,0.08727709722991683,-0.0465778718252375,-0.0435389217777728,0.04440398285382268
"(3, 3)",-0.035034210030646815,-0.061242505113564744,0.11019299722878446,0.03504932346585455,0.025912059069731076,0.06533561235070931
"(3, 4)",-0.06454055486273996,-0.08317611803861139,0.11188125208684983,0.014843048607088013,0.01863509147363877,0.08916422078341524
"(4, 1)",-0.17399600092250458,-0.14354759258671823,0.11665424232763516,-0.03679303070732523,-0.044558199997845806,0.08245098618221518
"(4, 2)",-0.12864752169748475,-0.12345653250330077,0.0915422437911605,-0.027695659514390344,-0.048152352257271894,0.08398577290892985
"(4, 3)",-0.05230154577812009,-0.0378364876982373,0.13508716823365594,0.028743429465694303,0.011856759991496801,0.063140753963868
"(4, 4)",-0.08433257573556593,-0.055284218730809055,0.12321725334282627,-0.006416323517176306,-0.004745250009529462,0.08940652487585948
