Subject,Dict_Key,Acc_Diff_Mean,Acc_Diff_Median,Acc_Diff_Std,Box_Diff_Mean,Box_Diff_Median,Box_Diff_Std
Jul_13,"(2, 2)",-0.026436430091423966,-0.026436430091423966,0.004457788136892734,0.0007847458368309564,0.0007847458368309564,0.008567554162356019
Jul_13,"(2, 3)",0.009351867515695457,0.009351867515695457,0.01325121374512167,0.05181532916928215,0.05181532916928215,0.0023638458381659185
Jul_13,"(2, 4)",0.027692079937938874,0.027692079937938874,0.0,0.0782994333615837,0.0782994333615837,0.0
Jul_13,"(3, 1)",-0.07439363674710188,-0.07439363674710188,0.0,-0.04330566669038186,-0.04330566669038186,0.0
Jul_13,"(3, 2)",-0.08767858497211217,-0.08767858497211217,0.01591036174112128,-0.042628918451821214,-0.042628918451821214,0.026467258469067296
Jul_13,"(3, 3)",-0.04814721713394527,-0.04814721713394527,0.042120449213535256,0.00813097302240997,0.00813097302240997,0.03231919969336807
Jul_13,"(3, 4)",-0.05128295492592161,-0.05128295492592161,0.0,-0.013852885733025946,-0.013852885733025946,0.0
Jul_13,"(4, 1)",-0.06925842536621318,-0.06925842536621318,0.0,-0.0004259999841451645,-0.0004259999841451645,0.0
Jul_13,"(4, 2)",-0.07894403759163914,-0.07894403759163914,0.025292207428617396,-0.05652074998943135,-0.05652074998943135,0.0
Jul_13,"(4, 3)",-0.024314977445867733,-0.024314977445867733,0.03256498506244345,0.05344034287346793,0.05344034287346793,0.0
Jul_13,"(4, 4)",0.050317329063550104,0.050317329063550104,0.0,0.12705559999449179,0.12705559999449179,0.0
X91583,"(1, 1)",-0.09222999294988757,-0.09222999294988757,0.01236067581137816,-0.005232605556051971,-0.005232605556051971,0.02090596109822703
X91583,"(1, 2)",0.024920726205348534,0.024920726205348534,0.020192741767854062,0.0953036636709804,0.0953036636709804,0.004634263645555192
X91583,"(1, 3)",0.08298822996272988,0.08298822996272988,0.0411206946332834,0.16538129445527577,0.16538129445527577,0.03324080556113687
X91583,"(1, 4)",-0.1039279755451233,-0.1039279755451233,0.07454404020359622,-0.030931072105580062,-0.030931072105580062,0.05796898789152405
X91583,"(2, 1)",-0.15502552374124334,-0.15502552374124334,0.03621585942814133,-0.10234449034892763,-0.10234449034892763,0.02982692785140402
X91583,"(2, 2)",-0.05023202921269701,-0.05023202921269701,0.017270386257034632,0.00046449832217250464,0.00046449832217250464,0.017264214995601733
X91583,"(2, 3)",-7.723680828369134e-05,-7.723680828369134e-05,0.009489893294241152,0.05146332084647535,0.05146332084647535,0.015901345783883393
X91583,"(2, 4)",-0.13635238257247698,-0.13635238257247698,0.04749228054249085,-0.05594443083682563,-0.05594443083682563,0.06471020414901432
X91583,"(3, 1)",-0.24460073078268524,-0.24460073078268524,0.0058819866960860695,-0.1421816208603559,-0.1421816208603559,0.004512654195423238
X91583,"(3, 2)",-0.20657166327523008,-0.20657166327523008,0.04585804857703159,-0.09790061663564605,-0.09790061663564605,0.04740059168155615
X91583,"(3, 3)",-0.0762151905894056,-0.0762151905894056,0.025819886614331045,0.02300767249544151,0.02300767249544151,0.020990952459396795
X91583,"(3, 4)",-0.23689336260826482,-0.23689336260826482,0.07456552466858739,-0.14129488956902853,-0.14129488956902853,0.05941631956745616
X91583,"(4, 1)",-0.22866497775010924,-0.22866497775010924,0.052961779173859816,-0.06098783743397425,-0.06098783743397425,0.0019798101869903627
X91583,"(4, 2)",0.013376420751141115,0.013376420751141115,0.04008240542385732,0.15329905877665073,0.15329905877665073,0.06445601262640883
X91583,"(4, 3)",-0.0005544866515747883,-0.0005544866515747883,0.006855249944342187,0.15100395139436135,0.15100395139436135,0.029384073613780655
X91583,"(4, 4)",-0.14256847049970234,-0.14256847049970234,0.04878347130717907,-0.031084315663184783,-0.031084315663184783,0.018825093419479227
X38547,"(1, 1)",-0.021592842684160597,-0.021592842684160597,0.04954392864291686,-0.007871700309416545,-0.007871700309416545,0.006439336018437254
X38547,"(1, 2)",0.13671457284334534,0.13671457284334534,0.11783906175724304,0.046170962579448575,0.046170962579448575,0.05043336247243652
X38547,"(1, 3)",0.1572128294770983,0.1572128294770983,0.04113177987170568,0.09830166669174407,0.09830166669174407,0.019230299920309335
X38547,"(1, 4)",0.13323524191357392,0.13323524191357392,0.04575819969881242,0.007844700002654767,0.007844700002654767,0.0042475666365741445
X38547,"(2, 1)",-0.12784524063220207,-0.12784524063220207,0.03365698705922195,-0.08535670719963188,-0.08535670719963188,0.03250650714229172
X38547,"(2, 2)",-0.01761248422912783,-0.01761248422912783,0.008411917408108364,0.01399697920229907,0.01399697920229907,0.04999054586126779
X38547,"(2, 3)",0.0036727024646470837,0.0036727024646470837,0.014637942564427776,0.07107700742781162,0.07107700742781162,0.05510866749100387
X38547,"(2, 4)",-0.1486544639373381,-0.1486544639373381,0.002765945166932668,-0.012334810090916498,-0.012334810090916498,0.029761989913614735
X38547,"(3, 1)",-0.05695852192776327,-0.05695852192776327,0.049636359261649984,-0.13160354766296223,-0.13160354766296223,0.01927898096619174
X38547,"(3, 2)",-0.09669302709994458,-0.09669302709994458,0.10964957454525102,-0.03024493328606089,-0.03024493328606089,0.025295966692889728
X38547,"(3, 3)",0.16777836270218688,0.16777836270218688,0.1495681210049576,0.11287266251747496,0.11287266251747496,0.02633821257040836
X38547,"(3, 4)",0.1418394144739569,0.1418394144739569,0.10807123483154321,-0.051071406956503376,-0.051071406956503376,0.03316941807538064
X38547,"(4, 1)",-0.054530270282074425,-0.054530270282074425,0.08909084653217646,-0.04901108331202218,-0.04901108331202218,0.03109029667296757
X38547,"(4, 2)",0.012787506689244055,0.012787506689244055,0.016277716148734064,-0.01484125416512446,-0.01484125416512446,0.009685879083311496
X38547,"(4, 3)",-0.014482064459983762,-0.014482064459983762,0.016328890624677028,0.03461539087584242,0.03461539087584242,0.03898339095758274
X38547,"(4, 4)",0.07575832547906788,0.07575832547906788,0.036049393917866414,-0.00841060410796975,-0.00841060410796975,0.04274297084581728
X02299,"(1, 1)",-0.012231074486234172,-0.012231074486234172,0.0,0.0042669333051890135,0.0042669333051890135,0.0
X02299,"(1, 2)",-0.11936260235814682,-0.11936260235814682,0.1488221082668455,-0.011019879454662177,-0.011019879454662177,0.008972029635598037
X02299,"(1, 3)",-0.0038752165733508884,-0.0038752165733508884,0.0,-0.04211186256725341,-0.04211186256725341,0.0
