Test Type,Mean,Median,Standard Deviation,Minimum,Maximum
1,313.3460710014282,291.0003030495533,73.13566238059691,209.50021817485023,655.5006826425505
2,334.08858321607795,324.750338197053,68.26991529090067,224.5002337959612,617.5006430690693
3,301.9846894887627,292.7503048720163,66.09585842390887,212.50022129907242,565.0005883951808
4,299.60783889521593,283.00029471829407,70.13304387995872,204.5002129678132,611.5006368206249
