Subject,Run,Dict_Key,Acc_Diff_Mean,Acc_Diff_Median,Acc_Diff_Std,Box_Diff_Mean,Box_Diff_Median,Box_Diff_Std
X51231,1,"(1, 1)",0.17620627111856368,0.17620627111856368,0.0,,,
X51231,1,"(1, 2)",-0.1333476974136031,-0.06208670871948266,0.1801468660485033,-0.08797972509637475,-0.03189330000896007,0.224127611242937
X51231,1,"(1, 3)",-0.02353489280930422,-0.017631981051832724,0.19566916821186256,0.18351599987363443,0.22851569985505193,0.17273668499104455
X51231,1,"(1, 4)",-0.18339890500051356,-0.19789261316835696,0.1662183827317442,-0.005771520035341382,-0.04498149990104139,0.12953470979697124
X51231,1,"(2, 1)",0.0330089221522028,-0.022302662359678538,0.19628064832288084,-0.03203704999759793,-0.04089425003621727,0.07431457578055768
X51231,1,"(2, 2)",0.012483869026506555,0.06070006445409082,0.29067419129098127,0.007643987570190802,-0.05596259981393814,0.24186849319254644
X51231,1,"(2, 3)",0.07386629708288892,0.05987597134242992,0.2728428651516837,0.12663457775488496,0.1130311000160873,0.2649766801684895
X51231,1,"(2, 4)",-0.3658290739926493,-0.44429934287861034,0.1684046340246188,-0.2982809667785962,-0.40099150012247264,0.1638885765828526
X51231,1,"(3, 1)",-0.1485662519141199,-0.1485662519141199,0.20876694077964988,-0.054517799988389015,-0.054517799988389015,0.21850130008533597
X51231,1,"(3, 2)",-0.17309647625046434,-0.1444675939525451,0.13164691294297656,-0.07603262006305159,-0.078957200050354,0.15275418727153148
X51231,1,"(3, 3)",-0.07411425002500181,-0.08781598908923793,0.17230597324367133,0.04899865884662551,0.003939199959859252,0.16581334204175682
X51231,1,"(3, 4)",-0.14781304395199651,-0.15341396255076994,0.21964282544553754,-0.05432870001532138,-0.07192605012096465,0.23156871402541512
X51231,1,"(4, 1)",-0.2912718616624444,-0.30361560253675024,0.31682022891838624,0.24169286674199006,0.23197130020707846,0.04170701330437961
X51231,1,"(4, 2)",-0.08238091993586395,-0.07810128738841762,0.3667530381280697,0.027687900030286983,0.04342644987627864,0.37717345829722887
X51231,1,"(4, 3)",-0.13463288074186555,-0.07134902408389399,0.1351757786217352,0.028693000009904306,0.05406250013038516,0.11320722037403363
X51231,1,"(4, 4)",0.05199673140583531,-0.013315356449836835,0.22481764589368303,-0.024409650010056794,-0.024409650010056794,0.1153802500339225
X51231,2,"(1, 1)",-0.1980101219874255,-0.1980101219874255,0.06693945208974683,-0.12007010006345809,-0.12007010006345809,0.0
X51231,2,"(1, 2)",-0.0031762539890612673,-0.0031762539890612673,0.02982630973251052,0.1880681999027729,0.1880681999027729,0.0
