Test Type,Mean,Median,Standard Deviation,Minimum,Maximum,Normality
1,391.5307107728145,382.00039781762666,101.90314576935641,201.50020984359102,691.0007196125131,No
2,363.75916476354075,350.0003644925899,93.31718527182622,200.50020880218364,695.5007242988464,No
3,351.3306689082711,332.50034626796037,96.72141386388526,200.50020880218364,692.0007206539206,No
4,337.2326744285527,309.0003217948865,110.00477860850513,200.50020880174873,698.0007269023649,No

Heterotopic over homotopic ratio
1.095339660615698
