Subject,Run,Test Type,Mean,Median,Standard Deviation,Minimum,Maximum,Normality
X64181,1,1,400.3976375014255,399.3853002320975,63.767798355148564,206.93920040503144,524.8750997707248,Yes
X64181,1,2,333.44335253429364,323.8625000230968,69.888812052868,209.9645002745092,574.9619002453983,No
X64181,1,3,324.2304762588593,322.04689970239997,50.331916656972865,217.83170010894537,524.7923000715673,No
X64181,1,4,322.4442593153503,312.77359975501895,54.75025709323585,237.83420026302338,584.7872998565435,No
X64181,2,1,386.17161724009907,383.17059981636703,62.411339712979256,231.10239999368787,537.1869001537561,Yes
X64181,2,2,310.8694745638108,300.0587001442909,84.03427639204388,205.12339984998107,659.0927997604012,No
X64181,2,3,293.95465591480416,288.06440019980073,47.522505815708634,217.07600029185414,503.1098001636565,No
X64181,2,4,311.96082375501675,296.229500323534,64.60454000705487,205.1868000999093,520.1987000182271,No
X70786,1,1,416.00485087633785,412.8521999809891,82.71495434991398,228.0437999870628,622.4511999171227,Yes
X70786,1,2,418.0040791882978,397.3407499724999,73.52996350022333,308.7589999195188,681.4033000264317,No
X70786,1,3,364.8585749772162,352.25464997347444,78.07765910038415,229.99510006047785,562.6805999781936,Yes
X70786,1,4,355.54396438854354,344.9572999961674,79.13816198643647,203.15980003215373,602.6832000352442,No
X70786,2,1,422.57176440651136,415.64040002413094,79.87518399646277,247.70529987290502,697.5430999882519,No
X70786,2,2,461.778923526735,450.18939999863505,101.42782614643863,233.58249990269542,692.7732001058757,Yes
X70786,2,3,347.9701541606725,340.2507499558851,66.80253765738469,221.62319999188185,550.9562001097947,Yes
X70786,2,4,327.40511185237034,325.3592001274228,76.55346804848634,213.43280002474785,600.8923999033868,No
X72350,1,1,422.0157593165098,419.5379000157118,59.894421948016486,262.5172999687493,586.5527000278234,Yes
X72350,1,2,448.7892333622368,434.50059997849166,75.15490761136101,302.6427999138832,664.5918001886457,No
X72350,1,3,370.72782831188914,349.56869995221496,91.08183322859384,240.5163999646902,698.6811999231577,No
X72350,1,4,396.11550517267835,385.1061000023037,62.87983869769573,254.5139999128878,585.5386999901384,No
X72350,2,1,384.4956135519354,365.2320997789502,68.68335022408468,231.12690006382763,650.2501000650227,No
X72350,2,2,455.3798105191897,448.219999903813,80.20489444550473,303.1751001253724,687.1376000344753,Yes
X72350,2,3,367.1133861925196,346.73284995369613,94.51422420420592,241.2371002137661,698.2066999189556,No
X72350,2,4,360.82983666177216,340.3511500218883,86.58250859121712,256.17969990707934,672.2397999837995,No
X85446,1,1,440.33353155674905,424.4039999321103,72.5656886586993,277.3153998423368,633.3731999620795,No
X85446,1,2,427.1687491662737,421.31260014139116,82.83392623310392,294.31849997490644,670.3288999851793,No
X85446,1,3,394.930596340617,380.6634999345988,90.0453119269358,253.44729982316494,688.3491999469697,No
X85446,1,4,400.68435280162066,385.3857999201864,87.94632344710831,252.72969994693995,686.3391001243144,No
X85446,2,1,439.8422884584691,441.5861499728635,53.44059747089087,257.0870998315513,545.1177998911589,Yes
X85446,2,2,395.10518430239136,395.0856998562813,75.49095085486746,296.17589991539717,665.1162998750806,No
X85446,2,3,383.53786800056696,374.1194000467658,79.6515826761831,210.0884998217225,684.1017999686301,No
X85446,2,4,390.9728545187549,370.14769995585084,89.38183441014391,241.12259992398322,642.1102997846901,No
X86768,1,1,369.68060169108526,356.5649000229314,74.99922202622733,262.896699947305,624.8996000504121,No
X86768,1,2,332.5098183335892,324.3964000721462,58.41725538534373,228.0752999940887,549.290299997665,No
X86768,1,3,334.0186813601561,338.48220005165786,54.90623989262486,224.12080003414303,469.51339999213815,Yes
X86768,1,4,298.67944575380534,291.5274000260979,65.676341624317,218.5324999736622,621.4759999420494,No
X87678,2,1,341.856413554416,324.680200079456,78.24806210461871,234.56460004672408,630.4399999789894,No
X87678,2,2,353.453467242773,334.34775000205263,77.04051660085563,256.57530000898987,586.8265000171959,No
X87678,2,3,325.28509999780607,311.71390000963584,62.520347172696056,234.55910000484437,560.2326000807807,No
X87678,2,4,286.1971517197852,271.2222500122152,65.9426857620351,205.9542000060901,557.0117000024766,No
X91583,1,1,426.06876181988895,425.61459995340556,69.86173439848652,228.1348000979051,659.7126999404281,No
X91583,1,2,332.57250000289724,319.1409999271855,66.73053984812901,248.05130006279796,559.8017000593245,No
X91583,1,3,256.94739622204514,235.74620008002967,73.56826833911403,202.86329998634756,601.3570999493822,No
X91583,1,4,384.89857499579165,385.5116500053555,57.958222022792924,213.91809999477118,595.1315999263898,No
X91583,2,1,408.6624463024135,412.51509997528046,68.91253952850315,257.3152999393642,588.1469000596553,Yes
X91583,2,2,303.3713254463774,294.0978999249637,56.40865322492357,210.2085999213159,543.5411999933422,No
X91583,2,3,242.95369790585633,236.27205000957474,41.37229272985201,203.05869996082038,414.7071000188589,No
X91583,2,4,408.01484999470773,390.86764998501167,77.06107122736017,258.50359990727156,637.0593999745324,No
X98504,1,1,359.1716766706668,355.796700110659,51.5840117487923,280.2536999806762,516.7428001295775,No
X98504,1,2,372.82155789516605,361.71500012278557,69.82350149009345,259.76529996842146,576.1076998896897,No
X98504,1,3,329.2049464279054,320.60730003286153,51.69714735546608,242.09369998425245,523.4694997780025,No
X98504,1,4,309.89512500430766,307.5229999376461,49.778186300903855,218.78540003672242,481.45700013265014,No
X98504,2,1,351.00512665618834,350.51645000930876,47.40057779136745,270.3785998746753,490.3076998889446,Yes
X98504,2,2,395.8357666679486,383.4588999161497,75.33785094001902,294.45960000157356,645.6969999708235,No
X98504,2,3,332.3243837043339,319.0530000720173,57.3567337321466,263.90170003287494,563.5482999496162,No
X98504,2,4,319.28039153927335,304.1168001946062,63.582638540334024,227.43070009164512,538.5713998693973,No

Subject,Run,Heterotopic over homotopic ratio
Jul_13,1,1.0514055659259796
Jul_13,2,1.0751280074033127
X02299,1,1.0684944672864047
X02299,2,1.160541204152541
X03004,1,1.0514055659259796
X03004,2,1.0751280074033127
X05398,1,1.2584291655808646
X05398,2,1.1789826225120543
X13844,1,1.0775137470591218
X13844,2,1.132128512244111
x24208,1,1.073309158730602
X24208,2,nan
X33332,1,1.0346970275518874
X33332,2,1.0441854262172832
X37945,1,1.0982667755189046
X37945,2,1.1385549269472104
X38547,1,1.1686780478885899
X38547,2,1.1072983041084135
X42448,1,1.0896942360036872
X42448,2,1.1271979471258378
X44909,1,1.0601272771624126
X44909,2,1.1348162782718898
X48739,1,1.1235363446362228
X48739,2,1.1056488410742038
X51231,1,1.1445630045610375
X51231,2,1.1223144192445909
X55579,1,1.1277994072597135
X55579,2,1.051106051790268
X58086,1,1.109946088118864
X58086,2,1.1459098586988863
X61122,1,1.2124402348006016
X61122,2,1.1439357562568582
X64181,1,1.1320905491456694
X64181,2,1.14933106532669
X70786,1,1.1584051670474718
X70786,2,1.3092977665463528
X72350,1,1.1356061843765872
X72350,2,1.1522546985848074
X85446,1,1.090215142657622
X85446,2,1.0781001362610205
X86768,1,1.109341138249078
X87678,2,1.1356966634126733
X91583,1,1.172931099690023
X91583,2,1.0813551763509353
X98504,1,1.1459962825053667
X98504,2,1.144656860387506
