Test Type,Mean,Median,Standard Deviation,Minimum,Maximum,Normality
1,419.96965784288284,410.19789990969,93.71472567497136,206.93920040503144,697.5430999882519,No
2,404.1379368627077,391.61575004027327,95.32970644251056,205.12339984998107,696.9979000277817,No
3,365.3704647090581,345.3993999864906,94.61360007517042,202.86329998634756,698.6811999231577,No
4,369.8860916824245,354.9533999967025,93.64562896878404,203.15980003215373,693.1309000356123,No

Heterotopic over homotopic ratio
1.1196686112894287
